channel_id,ec_timestamp,tx_estimated_bw_kbps,rx_estimated_bw_kbps,wan_circuit_tx_cir_kbps,wan_circuit_rx_cir_kbps,tx_kbps,rx_kbps
EUT_3,2024-03-08 22:51:00.000 +0530,49000,11000,98000,22000,951.3301192,964.895514
EUT_3,2024-03-08 22:50:00.000 +0530,49000,11000,98000,22000,947.5824056,958.2325358
EUT_3,2024-03-08 22:49:00.000 +0530,49000,11000,98000,22000,950.881604,953.243377
EUT_3,2024-03-08 22:48:00.000 +0530,49000,11000,98000,22000,949.8725993,968.0850401
EUT_3,2024-03-08 22:47:00.000 +0530,49000,11000,98000,22000,948.9203465,954.5446976
EUT_3,2024-03-08 22:46:00.000 +0530,49000,11000,98000,22000,948.7397257,954.1551921
EUT_3,2024-03-08 22:45:00.000 +0530,49000,11000,98000,22000,949.7908754,953.4089827
EUT_3,2024-03-08 22:44:00.000 +0530,49000,11000,98000,22000,949.7405657,974.749721
EUT_3,2024-03-08 22:43:00.000 +0530,49000,11000,98000,22000,949.1056394,995.3130868
EUT_3,2024-03-08 22:42:00.000 +0530,49000,11000,98000,22000,945.652504,966.9085007
EUT_3,2024-03-08 22:41:00.000 +0530,49000,11000,98000,22000,948.8446681,953.3278338
EUT_3,2024-03-08 22:40:00.000 +0530,49000,11000,98000,22000,947.0766602,963.8160095
EUT_3,2024-03-08 22:39:00.000 +0530,49000,11000,98000,22000,950.2137634,965.0766406
EUT_3,2024-03-08 22:38:00.000 +0530,49000,11000,98000,22000,948.3274231,975.8091431
EUT_3,2024-03-08 22:37:00.000 +0530,49000,11000,98000,22000,950.1363347,967.1111654
EUT_3,2024-03-08 22:36:00.000 +0530,49000,11000,98000,22000,955.7557696,962.4484756
EUT_3,2024-03-08 22:35:00.000 +0530,49000,11000,98000,22000,948.7148052,956.637192
EUT_3,2024-03-08 22:34:00.000 +0530,49000,11000,98000,22000,949.668238,951.9312995
EUT_3,2024-03-08 22:33:00.000 +0530,49000,11000,98000,22000,951.3179952,954.099998
EUT_3,2024-03-08 22:32:00.000 +0530,49000,11000,98000,22000,952.8431159,953.0008884
EUT_3,2024-03-08 22:31:00.000 +0530,49000,11000,98000,22000,951.370931,953.0971995
EUT_3,2024-03-08 22:30:00.000 +0530,49000,11000,98000,22000,948.744314,951.6019238
EUT_3,2024-03-08 22:29:00.000 +0530,49000,11000,98000,22000,951.0582397,952.0329602
EUT_3,2024-03-08 22:28:00.000 +0530,49000,11000,98000,22000,949.4311117,950.8568895
EUT_3,2024-03-08 22:27:00.000 +0530,49000,11000,98000,22000,951.0868001,953.0067993
EUT_3,2024-03-08 22:26:00.000 +0530,49000,11000,98000,22000,951.401902,949.9859038
EUT_3,2024-03-08 22:25:00.000 +0530,49000,11000,98000,22000,950.8541071,951.9442871
EUT_3,2024-03-08 22:24:00.000 +0530,49000,11000,98000,22000,950.2111938,956.3631999
EUT_3,2024-03-08 22:23:00.000 +0530,49000,11000,98000,22000,950.3449969,953.3287125
EUT_3,2024-03-08 22:22:00.000 +0530,49000,11000,98000,22000,948.4391073,949.9164451
EUT_3,2024-03-08 22:21:00.000 +0530,49000,11000,98000,22000,949.224529,952.3931997
EUT_3,2024-03-08 22:20:00.000 +0530,49000,11000,98000,22000,945.7272034,958.6180023
EUT_3,2024-03-08 22:19:00.000 +0530,49000,11000,98000,22000,949.3330174,957.9488621
